"type","name","label","label..Arabic","relevant","constraint","required","repeat_count","constraint_message","constraint_message..Arabic","read_only","appearance","choice_filter","default","calculation","hint","hint..Arabic"
"start","start","","","","","","","","",NA,"","",NA,"","",""
"end","end","","","","","","","","",NA,"","",NA,"","",""
"today","date_assessment","","","","","","","","",NA,"","",NA,"","",""
"deviceid","deviceid","","","","","","","","",NA,"","",NA,"","",""
"select_one ngo","ngo","Please select the name of your organization","اسم المنظمة التي تجري الاستبيان","","","yes","","","",NA,"","",NA,"","",""
"text","ngo_other","If other, please specify","اذا اخرى، الرجاء التحديد","selected(${ngo},'other')","","yes","","","",NA,"","",NA,"","",""
"integer","enumerator_num","Please record your enumerator number","رقم العامل","","","yes","","","",NA,"","",NA,"","",""
"select_one Governorate_MCNA","Governorate_MCNA","Current Governorate","المحافظة الحالية","","","yes","","","",NA,"","",NA,"","",""
"select_one District_MCNA","District_MCNA","Current District","القضاء الحالي","","","yes","","","",NA,"","Governorate=${Governorate_MCNA}",NA,"","",""
"text","subdistrict_MCNA","Current Sub-district","الناحية الحالية","","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","hhh","Are you the head of household? ","هل انت رب الاسرة؟","","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","will_to_response","If no, are you willing and able to respond to the questions on behalf of the household?","اذا كلا, هل انت قادر و مستعد للاجابة على الاسئلة بالنيابة عنه؟","selected(${hhh}, 'no')",".='yes'","yes","","","",NA,"","",NA,"","اذا كلا، الرجاء انهاء المقابلة  والانتقال الى اسرة اخرى","اذا كلا، الرجاء انهاء المقابلة  والانتقال الى اسرة اخرى"
"integer","age_respondent","What is your age? ","عمر المجيب","",".> 17 and .< 120","yes","","Age cannot be below 18 and above 120","",NA,"","",NA,"","",""
"select_one Sex","gender_respondent","Respondent's sex","جنس المجيب ","","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","consent","Hello, my name is __. We are conducting interviews in order to inform the humanitarian response in Iraq. This interview will take around 45 minutes,  and your answers will remain confidential and you are free to withdraw at any moment during the survey. Do you agree to participate?","مرحبا , انا اسمي __. نحن نجري المقابلات من أجل الابلاغ والحصول على الاستجابة الإنسانية في العراق. وهذه المقابلة تستغرق حوالي 45 دقيقة. وستبقى إجاباتك سرية. لك الحق في التوقف عن الاجابة في اي لحظة من الاستبيان. هل توافق على المشاركة؟","",".='yes'","yes","","","",NA,"","",NA,"","اذا كلا، الرجاء انهاء المقابلة  والانتقال الى اسرة اخرى","اذا كلا، الرجاء انهاء المقابلة  والانتقال الى اسرة اخرى"
"begin group","Household_Profile","Household Profile","تصنيفات الاسرة ","","","","","","",NA,"","",NA,"","",""
"select_one Yes_No","Displace_Status","Was your household living in this subdistrict prior to January 2014?","هل كانت اسرتك تعيش في هذه الناحية قبل كانون الثاني 2014؟","","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","Displace_Status_returnee","Have you been displaced from this sub-district since January 2014?","هل كنت نازحاً من هذه الناحية منذ كانون الثاني 2014؟","selected(${Displace_Status}, 'yes')","","yes","","","",NA,"","",NA,"","",""
"note","note_returnee","This household is a returnee household.","هذه الاسرة عائدة","selected(${Displace_Status_returnee}, 'yes')","","","","","",NA,"","",NA,"","",""
"note","note_nondisplaced","This household is non-displaced.","هذه الاسرة باقية ( لم تنزح ابداً)","selected(${Displace_Status_returnee}, 'no')","","","","","",NA,"","",NA,"","",""
"select_one Yes_No","Displace_Status_idp","Did you move to this subdistrict because of the conflict?","هل انتقلت الى هذه الناحية بسبب الصراع؟","selected(${Displace_Status}, 'no')","","yes","","","",NA,"","",NA,"","",""
"note","note_IDP","This household is an IDP household.","هذه الاسرة هي اسرة نازحة","selected(${Displace_Status_idp}, 'yes')","","","","","",NA,"","",NA,"","",""
"note","note_inelegible","This household is not eligible for the MCNA - please end the survey and find an eligible household in the targeted category. Please cancel this form and move to the next household.","هذه الاسرة غير مؤهلة للاستبيان. الرجاء انهاء الاستبيان والبحث عن اسرة اخرى ضمن الشروط المطلوبة","selected(${Displace_Status_idp}, 'no')","","","","","",NA,"","",NA,"","",""
"calculate","calc_idp","","","","","","","","",NA,"","",NA,"if(selected(${Displace_Status_idp}, 'yes'), 1,0)","",""
"calculate","calc_returnee","","","","","","","","",NA,"","",NA,"if(selected(${Displace_Status_returnee}, 'yes'), 1,0)","",""
"calculate","calc_remainee","","","","","","","","",NA,"","",NA,"if(selected(${Displace_Status_returnee}, 'no'), 1,0)","",""
"calculate","calc_noteligible","","","","","","","","",NA,"","",NA,"if(selected(${Displace_Status_idp}, 'no'), 1,0)","",""
"select_one hh_type","type_hh","According to the note prompted before, select the correct population group.","استناداً الى الملاحظة التي تمت معايرتها، الرجاء تحديد نوع المجموعة السكانية التي تنتمي اليها هذه الاسرة","${calc_noteligible} = 0","","yes","","","",NA,"","",NA,"","",""
"date","return_date_returnee","When did you return to this subdistrict after your most recent incidence of displacement?","متى عدتَ الى هذه الناحية بعد آخر نزوح لك؟","${calc_returnee} = 1",". <=today()","yes","","","",NA,"month-year","",NA,"","",""
"integer","return_durationdisplace","For how many months were you displaced? ","كم عدد الاشهر التي كنتَ فيها نازحاً؟","${calc_returnee} = 1",".>=0 and .<=60 ","yes","","","",NA,"","",NA,"","The answer has to be between 0 and 60 months","يجب ان يكون الجواب بين 0 و 60 شهرا"
"date","displace_date_idp","When were you initially displaced from your sub-district? ","منى نزحتَ من ناحيتك في البداية؟","${calc_idp} = 1",". <=today() and . >= date('2014-01-01')","yes","","Date cannot be before 01/01/2014","",NA,"month-year","",NA,"","",""
"select_one Yes_No","idp_first_place","Is this location your first place of displacement? ","هل هذا المكان هو اول مكان للنزوح لك؟","${calc_idp} = 1","","yes","","","",NA,"","",NA,"","Place of displacement should not include transit areas. Displacement implies settling down somewhere (in or out of camp).","لا تشمل مناطق النزوح اي اماكن مؤقتة ( للاستراحة مثلا). نتحدث هنا عن مكان تم الاستقرار فيه ( داخل او خارج المخيم)"
"date","arrival_date_idp","When did you arrive to this current location? ","متى وصلت الى مكانك الحالي؟","${calc_idp} = 1",". <=today() and .>=${displace_date_idp}","yes","","","",NA,"month-year","",NA,"","",""
"select_one Governorate_MCNA","Governorate_origin","What governorate in Iraq were you living in before your displacement (forced to leave your home)?","في اي محافظة في العراق كنت تعيش قبل نزوحك؟ ( قبل اضطرارك الى مغادرة المنزل)","${calc_idp} = 1","","yes","","","",NA,"","",NA,"","",""
"select_one District_MCNA","District_origin","What district in Iraq were you living in before your displacement?","في اي قضاء كنت تعيش قبل نزوحك؟","${calc_idp} = 1","","yes","","","",NA,"","Governorate=${Governorate_origin}",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"begin group","intentions","Intention survey","النوايا","${calc_noteligible} = 0","","","","","",NA,"","",NA,"","",""
"select_one intention","movement_intentions","What are your household's current movement intentions for the next three months?","ماهي نوايا الانتقال الحالية بالنسبة للاسرة خلال الأشهر الثلاثة القادمة؟","${calc_idp} = 1","","yes","","","",NA,"","",NA,"","",""
"select_one intention_nonidp","movement_intentions_b","What are your household's current movement intentions for the next three months?","ماهي نوايا الانتقال الحالية بالنسبة للاسرة خلال الأشهر الثلاثة القادمة؟","${calc_returnee} = 1 or ${calc_remainee} = 1
","","yes","","","",NA,"","",NA,"","",""
"select_one intention_ret","movement_intentions_ret","What are the main reasons you would consider displacement again?","ماهي الاسباب الرئيسية التي قد تجعلك تقوم بالنزوح مرة اخرى؟","${calc_returnee} = 1 and not(selected(${movement_intentions_b}, 'remain'))","","yes","","","",NA,"","",NA,"","",""
"select_one intentions12","movement_intentions12","What are your household's current movement intentions for the next 12 months?","ماهي نوايا الانتقال الحالية بالنسبة للاسرة خلال الاشهر ال12 القادمة؟","${calc_idp} = 1 and not(selected(${movement_intentions},'return'))","","yes","","","",NA,"","",NA,"","",""
"select_multiple reasons_return","reason_to_return_to_aoo","What are the main reasons why you currently intend to return to your area of origin? (Select max 3)","ماهي الاسباب الرئيسية التي تجعلك حاليا تفكر بالعودة الى منطقتك الاصلية؟ ( حدد ثلاثة فقط كحد اقصى)","${calc_idp} = 1 and selected(${movement_intentions12}, 'return') or selected(${movement_intentions},'return')","count-selected(.)<=3","yes","","You cannot select more than 3 options.","",NA,"","",NA,"","",""
"select_multiple ox8ul79","why_not_return","If not intending to return within the next year, why not? (select max. 3)","اذا لم تكن تنوي العودة الى منطقة الاصل خلال السنة القادمة، ماهو سبب ذلك؟ ( حدد 3 كحد اقصى)","${calc_idp} = 1 and not(selected(${movement_intentions}, 'return')) and not(selected(${movement_intentions12},'return'))","if(selected(.,'do_not_know') or selected(.,'decline_to_answer'), count-selected(.)=1, count-selected(.)<=3)","yes","","You cannot select more than 3 options. You cannot select ""do not know"" or ""decline to answer"" and any other options.","لايجوز تحديد لا اعلم مع خيار آخر",NA,"","",NA,"","","لا يجب عليك ان تقرأ الخيارات للمجيب بصوت عالٍ"
"end group","","","","","","","","","",NA,"","",NA,"","",""
"begin group","protection","Protection survey","الحماية","${calc_noteligible} = 0","","","","","",NA,"","",NA,"","",""
"select_one Yes_No","documents_lost","Are the civil documents of any members of your family lost, damaged or expired?","هل فقدت او تضررت او انتهت صلاحية الوثائق المدنية لأي شخص من العائلة ؟","","","yes","","","",NA,"","",NA,"","",""
"note","ref_docs","Individuals in this household are missing documents, please refer to the appropiate actor.","افراد الاسرة الذين لديهم وثائق مفقودة، يرجى الرجوع الى قسم الحماية الوظنية","selected(${documents_lost}, 'yes')","","","","","",NA,"","",NA,"","",""
"integer","register_MODM","How many individuals in your family are registered with MODM or DDM?","كم عدد أفراد عائلتك المسجلين في وزارة الهجرة والمهجرين او في دائرة الهجرة؟","${calc_idp} = 1 or ${calc_returnee} = 1
","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","restrictions","In the past month, has anyone in your HH experienced restrictions in their ability to move freely in your area in day light? ","في الشهر الماضي ، هل عانى أي شخص من اسرتك من قيود في التحرك بحرية في منطقتك أثناء النهار؟","","","yes","","","",NA,"","",NA,"","",""
"select_multiple restriction","restriction_type","If yes, what are the movement restrictions they have faced?","إذا كانت الإجابة نعم ، فماذا كانت قيود الحركة التي واجهتها؟","selected(${restrictions},'yes')","","yes","","","",NA,"","",NA,"","",""
"text","restriction_type_other","If other, please specify","اذا اخرى، الرجاء التحديد","selected(${restriction_type},'other')","count-selected(.)<=3","yes","","You cannot select more than 3 options.","",NA,"","",NA,"","",""
"select_one restriction_number","restriction_number","How many times did your HH face such movement restrictions in the past month?","كم مرة واجهت اسرتك مثل هذه القيود على الحركة في الشهر الماضي؟","selected(${restrictions},'yes')","","yes","","","",NA,"","",NA,"","",""
"select_one hlp_docs","hlp_docs","If your household owns a house, property or land in your area of origin, where are your proof of ownership documents?","إذا كانت أسرتك تمتلك منزلاً أو عقارًا أو أرضًا في منطقتك الأصلية ، فأين هي مستندات إثبات الملكية الخاصة بك؟","","","yes","","","",NA,"","",NA,"","",""
"note","ref_hlpdocs","Documents attesting HLP ownership are missing, please refer to the appropiate actor.","يرجى الرجوع الى قسم الحماية الوطنية اذا كانت وثائق الملكية العقارية قد فُقدت","selected(${hlp_docs}, 'lost') or selected(${hlp_docs}, 'stolen_taken')","","","","","",NA,"","",NA,"","",""
"select_multiple places","safe_place","Where do women and girls in your community feel safe and comfortable to receive services after an incident of violence?  ","اين تشعر النساء والفتيات في مجتمعك بالأمان والراحة في تلقي الخدمات بعد حادثة عنف؟","","if(selected(.,'do_not_know') or selected(.,'decline_to_answer'), count-selected(.)=1, count-selected(.)>=1)","yes","","You cannot select ""do not know""or ""decline to answer"" and any other option","",NA,"","",NA,"","",""
"text","safe_place_other","If other, please specify","اذا اخرى، الرجاء التحديد","selected(${safe_place},'other')","","yes","","","",NA,"","",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"begin group","Household Roster","Household Roster","معلومات العائلة","${calc_noteligible} = 0","","","","","",NA,"","",NA,"","",""
"integer","num_hh_member","How many members are there in your household?","كم عدد افراد الاسرة؟","",".> 0","yes","","","",NA,"","",NA,"","",""
"note","ind_level","I will now ask you some questions regarding each individual of your family. We define family to include anyone who is under guardianship or responsibility of this family (e.g. separated or unaccompanied children, grandparents)? **Please start with the head of your family and please don't forget to include yourself!**","سوف أطرح عليك الآن بعض الأسئلة بخصوص كل فرد من أفراد عائلتك. يتم تعريف العائلة في هذا الاستبيان بالعائلة الأصلية بمافيهم الاشخاص الذين هم تحت وصاية او مسؤولية هذه العائلة ( مثال : الاطفال الغير مصحوبين او المنفصلين او الأجداد)  **الرجاء البدء برب العائلة ولا تنسى ان تدرّج نفسك ايضاً.**","","","","","","",NA,"","",NA,"","",""
"integer","num_family_member","How many members are there in your family?","كم عدد افراد العائلة ( بمافيهم الاشخاص الذين هم تحت وصاية او مسؤولية هذه العائلة ( مثال : الاطفال الغير مصحوبين او المنفصلين او الأجداد)؟","",".> 0","yes","","","",NA,"","",NA,"","",""
"begin_group","composition","Family Composition","تكوين الاسرة","","","","","","",NA,"","",NA,"","",""
"begin_repeat","member","Add a new group for each family member.","اضف مجموعة جديدة لكل فرد من العائلة بمافيهم الاشخاص الذين هم تحت وصاية او مسؤولية هذه العائلة ( مثال : الاطفال الغير مصحوبين او المنفصلين او الأجداد)","","","yes","${num_family_member}","","",NA,"","",NA,"","",""
"select_one relationship","relationship","What is [this person]'s relation to the head of household?","ماهي صلة قرابة هذا الشخص برب الاسرة؟","","","yes","","","",NA,"quick","",NA,"","",""
"begin_group","error_start","","","not(selected(${relationship}, 'error'))","","yes","","","",NA,"","",NA,"","",""
"select_one gender","sex","What is the sex of [this person]?","ماهو جنس هذه الشخص؟","","","yes","","","",NA,"quick","",NA,"","",""
"integer","age","What is the age of [this person]? ","كم هو عمر هذا الشخص؟","",".< 120","yes","","","",NA,"","",NA,"","",""
"select_one marital_status","marital_status","What is [person]'s marital status? ","ماهي الحالة الاجتماعية لهذا الشخص؟","${age} >= 12","","yes","","","",NA,"","",NA,"","",""
"select_one YND","disability","Does the person have any disabilities?","هل لدى هذا الشخص اعاقة؟","","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","disab_explos"," Is [this person's] disability related to an explosive hazard (i.e. mines, UXO, IED)?","هل اعاقة هذا الشخص مرتبطة بمخاطر متفجرة (مثل الألغام ، الذخائر غير المنفجرة ، العبوات الناسفة)؟","selected(${disability}, 'yes')","","yes","","","",NA,"","",NA,"","",""
"select_one YND","daily_living","Does the medical problem/disability affect the person’s ability to perform daily living activities?","هل تؤثر الإعاقة أو الحالة الصحية على قدرة الشخص على اداء انشطة الحياة اليومية؟","selected(${disability}, 'yes')","","yes","","","",NA,"quick","",NA,"","(eating, bathing, toileting, dressing, transferring)","من اكل الطعام او الاستحمام او الذهاب الى التواليت او التنقل"
"select_one YND","pregnant_lactating","Is the person pregnant or lactating?","هل الشخص حامل او مرضعة؟","selected(${sex} , 'female') and (${age} >= 12 and ${age} <= 50)","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","person_doc_lost","Is the civil documents of [this person] lost, damaged or expired?","هل فقدت او تضررت او انتهت صلاحية الوثائق المدنية لهذ الشخص؟","selected(${documents_lost}, 'yes')","","yes","","","",NA,"","",NA,"","",""
"select_multiple civil_documents","civil_docs","If yes, which types of documentation are lost, damaged, or expired?","اذا نعم, مانوع الوثائق المدنية التي تم فقدانها او تضررت او انتهت صلاحيتها؟","selected(${person_doc_lost}, 'yes')","","yes","","","",NA,"","",NA,"","",""
"text","civil_docs_other","if other, please describe","اذا اخرى الرجاء الوصف","selected(${civil_docs}, 'other')","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","access_health_service","In the last three months, has [this person] needed to access health services or treatment (including medicines)?","في الأشهر الثلاثة الأخيرة ، هل كان[هذا الشخص] بحاجة إلى الوصول إلى الخدمات الصحية أو العلاج (بما في ذلك الأدوية)؟","","","yes","","","",NA,"","",NA,"","",""
"select_multiple health_barriers","healthcare_difficulties","What difficulties, if any, did the person encounter? ","ما الصعوبات (إن وجدت) التي واجهها الشخص؟","selected(${access_health_service}, 'yes')","","yes","","","",NA,"","",NA,"","",""
"select_multiple health_events","health_issues","In the past 30 days, has the person suffered from any the following health conditions or events?

","هل عانى الشخص من أي من الحالات أو الأحداث الصحية التالية خلال ال30 يوما الماضية؟","","not(selected(.,""none"") and count-selected(.) >1)
","yes","","Cannot select ""None"" together with any other option","لا ينبغي تحديد ( لاشيئ ) مع خيار آخر",NA,"field-list","",NA,"","",""
"text","health_issue_other","if other, please describe","اذا حالة صحية اخرى,  الرجاء الشرح","selected(${health_issues}, 'other')","","yes","","","",NA,"","",NA,"","",""
"select_multiple chronic","chronic_health_condition","Does this person have any of the following chronic health conditions? ","هل يعاني هذا الشخص من أي من الحالات الصحية المزمنة التالية؟","","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","child_vaccine_polio","Has the child (under 5 years old) been vaccinated against Polio?","هل تم تلقيح الطفل (أقل من 5 سنوات) ضد شلل الأطفال؟","${age} <= 5","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","child_vaccine_measeles","Has the child (under 5 years old) been vaccinated against Measles?","هل تم تلقيح الطفل (أقل من 5 سنوات) ضد الحصبة؟","${age} <= 5","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","child_vaccine_penta3","Has the person (under 2 years old) been vaccinated against Penta 3?","هل تم تلقيح الطفل (أقل من سنتين) باللقاح الثلاثي ( الخناق والكزاز والسعال الديكي)؟","${age} <= 2","","yes","","","",NA,"","",NA,"","A combined vaccine with three individual vaccines (whooping cough, diphtheria،and tetanus)","هو لقاح مدمج مع ثلاثة لقاحات فردية مقترنة في واحدة ، تهدف إلى حماية الاطفال بشكل "
"select_one YNDD","attend_formal_ed","Is the person (6-17) currently attending formal education? (during school season)","هل يرتاد هذا الشخص (6-17 سنة) التعليم الرسمي حاليا؟ (خلال الموسم الدراسي)","(${age} >= 6 and ${age} <= 17)","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","attend_informal_ed","Is the person (6-17) currently attending a non-formal learning environment at least 3 days per week? (during school season)","هل يرتاد هذا الشخص (6-17 سنة) التعليم  الغير رسمي حاليا؟ (خلال الموسم الدراسي)","not(selected(${attend_formal_ed}, 'yes'))  and (${age} >= 6 and ${age} <= 17)","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","ever_attend","Has the person (6-17) ever attended school?","هل ارتاد الشخص (6-17) المدرسة من قبل؟","selected(${attend_formal_ed}, 'no') and (${age} >= 6 and ${age} <= 17)","","yes","","","",NA,"","",NA,"","",""
"date","drop_out","In what month and year did this person stop attending school? ","في اي شهر وسنة توقف هذا الشخص عن ارتياد المدرسة؟","selected(${ever_attend}, 'yes') and (${age} >= 6 and ${age} <= 17)","","yes","","","",NA,"month-year","",NA,"","",""
"select_multiple reasons_not_attend","reasons_not_attend","If the person does not attend school, what were the reasons? ","اذا لم يكن الشخص يرتاد المدرسة حاليا ، ماهي الاسباب وراء ذلك؟","selected(${ever_attend}, 'no') and (${age} >= 6 and ${age} <= 17)","","yes","","","",NA,"","",NA,"","",""
"text","resons_not_attend_other","if other, please describe","اذا اخرى الرجاء الوصف","selected(${reasons_not_attend}, 'other') and (${age} >= 6 and ${age} <= 17)","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","work","Did [this person] work during the last 30 days?","هل عمل [هذا الشخص] خلال الثلاثين يومًا الماضية؟","${age} >= 6","","yes","","","",NA,"","",NA,"","",""
"select_one YND","actively_seek_work","Is [this person] actively seeking work?","هل يسعى هذا الشخص بنشاط للحصول على عمل؟","selected(${work}, 'no') and ${age}>=18","","yes","","","",NA,"","",NA,"","",""
"select_multiple employment_barrires","employment_primary_barriers","What obstacles, if any, is [this person] facing in finding work?","ما هي العقبات (ان وجدت) التي يواجهها هذا الشخص في العثور على عمل؟","selected(${work}, 'no') and selected(${actively_seek_work}, 'yes') and ${age}>=18","","yes","","","",NA,"","",NA,"","",""
"text","employment_primary_barriers_other","if other, please describe","اذا اخرى الرجاء الوصف","selected(${employment_primary_barriers}, 'other')","","yes","","","",NA,"","",NA,"","",""
"calculate","male_2","","","","","","","","",NA,"","",NA,"if(${age} <= 2 and ${sex}='male', 1,0)","",""
"calculate","female_2","","","","","","","","",NA,"","",NA,"if(${age} <= 2 and ${sex}='female', 1,0)","",""
"calculate","male_3_5","","","","","","","","",NA,"","",NA,"if(${age} >= 3 and ${age} <= 5 and ${sex}='male', 1,0)","",""
"calculate","female_3_5","","","","","","","","",NA,"","",NA,"if(${age} >= 3 and ${age} <= 5 and ${sex}='female', 1,0)","",""
"calculate","male_6_17","","","","","","","","",NA,"","",NA,"if(${age} >= 6 and ${age} <= 17 and ${sex}='male', 1,0)","",""
"calculate","female_6_17","","","","","","","","",NA,"","",NA,"if(${age} >= 6 and ${age} <= 17 and ${sex}='female', 1,0)","",""
"calculate","male_18_59","","","","","","","","",NA,"","",NA,"if(${age} >= 18  and ${age} <= 59 and ${sex}='male', 1,0)","",""
"calculate","female_18_59","","","","","","","","",NA,"","",NA,"if(${age} >= 18  and ${age} <= 59 and ${sex}='female', 1,0)","",""
"calculate","male_60","","","","","","","","",NA,"","",NA,"if(${age} >= 60 and ${sex}='male', 1,0)","",""
"calculate","female_60","","","","","","","","",NA,"","",NA,"if(${age} >= 60 and ${sex}='female', 1,0)","",""
"calculate","separated","","","","","","","","",NA,"","",NA,"if(${relationship}='nephew_niece', 1,0)","",""
"calculate","child_012","","","","","","","","",NA,"","",NA,"if(${age} >0 and ${age} <= 12, 1,0)","",""
"calculate","child_1317","","","","","","","","",NA,"","",NA,"if(${age} >=13 and ${age} <= 17, 1,0)","",""
"calculate","child","","","","","","","","",NA,"","",NA,"if(${age} >0 and ${age} <= 17, 1,0)","",""
"end_group","","","","","","","","","",NA,"","",NA,"","",""
"end_repeat","member_end","","","","","","","","",NA,"","",NA,"","",""
"end_group","composition_end","","","","","","","","",NA,"","",NA,"","",""
"calculate","male_2_calc","","","","","","","","",NA,"","",NA,"sum(${male_2})","",""
"calculate","female_2_calc","","","","","","","","",NA,"","",NA,"sum(${female_2})","",""
"calculate","male_3_5_calc","","","","","","","","",NA,"","",NA,"sum(${male_3_5})","",""
